"GDP per capita (2017 PPP $)"
"Dimension: Income/composition of resources"
"Definition: GDP in a particular period divided by the total population in the same period."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"142"," Nepal","1409","","1590","","1811","","1990","","2356","","2434","","2556","","2668","","2829","","2912","","2902","","3099","","3253","","3417",""
"8"," Netherlands","36633","","39684","","47645","","49700","","52278","","52842","","52104","","51883","","52433","","53223","","54101","","55348","","56455","","57141",""
"14"," New Zealand","27616","","29315","","32286","","36667","","37066","","37652","","38285","","38991","","39799","","40467","","41084","","41493","","42635","","42888",""
"128"," Nicaragua","3454","","3385","","3969","","4321","","4612","","4838","","5083","","5264","","5443","","5630","","5812","","6004","","5695","","5407",""
"189"," Niger","1120","","1009","","935","","961","","1033","","1018","","1082","","1099","","1126","","1131","","1150","","1162","","1196","","1219",""
"161"," Nigeria","3260","","2902","","2977","","3997","","4932","","5057","","5131","","5329","","5516","","5515","","5285","","5190","","5155","","5136",""
"82"," North Macedonia","11290","","8956","","10103","","11000","","13309","","13609","","13535","","13919","","14412","","14956","","15372","","15529","","15944","","16506",""
"1"," Norway","41406","","48407","","56137","","60798","","60290","","60097","","60916","","60806","","61309","","61896","","62010","","62941","","63333","","63633",""
"60"," Oman","26976","","29497","","33846","","31916","","34901","","32288","","32810","","31818","","30563","","30193","","30191","","29083","","28594","","27896",""
"154"," Pakistan","2916","","3180","","3245","","3707","","3907","","3929","","3981","","4069","","4171","","4278","","4422","","4571","","4740","","4690",""
"50"," Palau","..","","..","","13673","","15430","","15063","","15983","","16374","","16174","","16862","","18520","","18604","","17866","","18070","","18070","a"
"115"," Palestine, State of","..","","4101","","4563","","4442","","4973","","5451","","5652","","5640","","5499","","5559","","5692","","5755","","5662","","5662","a"
"57"," Panama","10728","","12642","","14511","","16305","","21347","","23354","","25201","","26486","","27358","","28436","","29338","","30455","","31049","","31459",""
"155"," Papua New Guinea","2440","","3279","","2878","","2883","","3414","","3377","","3461","","3521","","3918","","4204","","4289","","4353","","4236","","4388",""
"103"," Paraguay","8474","","9309","","8528","","8568","","10405","","10700","","10497","","11225","","11612","","11810","","12157","","12594","","12850","","12685",""
"79"," Peru","5249","","6154","","6422","","7519","","10066","","10617","","11176","","11724","","11877","","12110","","12404","","12507","","12782","","12848",""
"107"," Philippines","4232","","4178","","4454","","5054","","5918","","6044","","6351","","6666","","6974","","7300","","7705","","8121","","8516","","8908",""
"35"," Poland","11318","","12445","","16225","","18935","","23976","","25166","","25570","","25942","","26823","","27871","","28738","","30153","","31766","","33086",""
"38"," Portugal","23586","","25556","","30421","","31116","","31838","","31344","","30194","","30081","","30483","","31158","","31887","","33086","","34013","","34798",""
"45"," Qatar","..","","..","","90883","","92096","","100691","","104091","","101021","","99134","","97938","","97306","","96060","","95058","","94503","","92651",""
"49"," Romania","13262","","12080","","12072","","16719","","20241","","20749","","21274","","22104","","22944","","23944","","25238","","27192","","28565","","29909",""
"52"," Russian Federation","21549","","13349","","14615","","20104","","24035","","25049","","26013","","26413","","26137","","25566","","25569","","26006","","26668","","27044",""
"160"," Rwanda","937","","746","","867","","1148","","1507","","1587","","1682","","1718","","1780","","1889","","1950","","1975","","2089","","2226",""
"74"," Saint Kitts and Nevis","15161","","17593","","21535","","24138","","23708","","23931","","23191","","24224","","25522","","25569","","26078","","25356","","25900","","26357",""
"86"," Saint Lucia","11710","","12398","","12965","","13433","","14110","","14760","","14639","","14105","","14290","","14030","","14517","","14946","","15261","","15449",""
"97"," Saint Vincent and the Grenadines","6377","","7573","","8647","","10667","","11448","","11394","","11538","","11730","","11846","","11972","","12164","","12245","","12466","","12466",""
"111"," Samoa","4065","","4107","","4821","","5948","","6021","","6222","","5916","","5841","","5800","","6007","","6457","","6495","","6329","","6517",""
".."," San Marino","..","","..","","73680","","81285","","71596","","64747","","59354","","58078","","56979","","57821","","58807","","58861","","59350","","59350","a"
"135"," Sao Tome and Principe","..","","..","","..","","2863","","3329","","3397","","3431","","3528","","3689","","3758","","3841","","3916","","3945","","3964",""
"40"," Saudi Arabia","41393","","42856","","41955","","44310","","44037","","46989","","48024","","47848","","48209","","48921","","48627","","47309","","47597","","46962",""
"168"," Senegal","2296","","2203","","2389","","2651","","2743","","2707","","2767","","2767","","2868","","2966","","3068","","3204","","3315","","3395",""
"64"," Serbia","..","","7722","","8866","","12231","","14455","","14867","","14837","","15341","","15168","","15514","","16116","","16534","","17355","","18180",""
"67"," Seychelles","14647","","15554","","19012","","18352","","20982","","23240","","23303","","24253","","24955","","25609","","26422","","27243","","27997","","29056",""
"182"," Sierra Leone","1461","","1111","","1063","","1245","","1414","","1469","","1654","","1953","","1998","","1552","","1611","","1643","","1663","","1718",""
"11"," Singapore","37348","","48768","","56011","","67011","","78160","","81399","","82970","","85586","","87809","","89366","","91076","","94941","","97745","","97341",""
"39"," Slovakia","..","","13610","","16086","","20618","","26072","","26784","","27245","","27399","","28125","","29454","","30040","","30907","","32067","","32793",""
"22"," Slovenia","22123","","21576","","26393","","31267","","33498","","33717","","32758","","32377","","33240","","33950","","34984","","36651","","38022","","38689",""
"151"," Solomon Islands","2072","","2639","","1998","","1849","","2059","","2271","","2313","","2319","","2308","","2303","","2315","","2338","","2365","","2367",""
"114"," South Africa","10296","","9541","","10089","","11435","","12452","","12667","","12744","","12852","","12884","","12840","","12704","","12703","","12631","","12482",""
"25"," Spain","27598","","29100","","34826","","38038","","37393","","36957","","35840","","35442","","36040","","37451","","38554","","39576","","40329","","40883",""
"72"," Sri Lanka","3878","","4790","","5950","","6944","","9127","","9828","","10712","","10990","","11428","","11891","","12287","","12584","","12865","","13078",""
"170"," Sudan","1733","","1951","","2281","","2705","","3218","","3654","","4007","","4084","","4093","","4192","","4285","","4363","","4161","","3958",""
"97"," Suriname","12474","","11378","","11737","","14288","","16921","","17709","","17981","","18304","","18153","","17349","","16218","","16341","","16609","","16329",""
"7"," Sweden","34677","","34755","","41244","","46132","","48519","","49693","","49036","","49200","","50009","","51705","","52116","","52739","","53146","","53205",""
"2"," Switzerland","55609","","53388","","58604","","60905","","64479","","64845","","64806","","65251","","66039","","66162","","66571","","67139","","68479","","68628",""
"125"," Tajikistan","3869","","1348","","1252","","1819","","2260","","2373","","2493","","2616","","2727","","2822","","2943","","3090","","3235","","3380",""
"163"," Tanzania (United Republic of)","1392","","1294","","1409","","1720","","2007","","2098","","2129","","2206","","2285","","2354","","2442","","2530","","2590","","2660",""
"79"," Thailand","7109","","10028","","9819","","12317","","14413","","14465","","15440","","15783","","15870","","16302","","16798","","17421","","18087","","18463",""
"141"," Timor-Leste","..","","..","","2328","","2273","","2930","","3046","","3172","","3183","","3265","","3303","","3356","","3166","","3080","","3123",""
"167"," Togo","1347","","1207","","1281","","1186","","1225","","1269","","1316","","1361","","1404","","1447","","1490","","1517","","1553","","1596",""
"104"," Tonga","3936","","4696","","5068","","5450","","5491","","5668","","5764","","5637","","5796","","6026","","6208","","6322","","6267","","6267","a"
"67"," Trinidad and Tobago","10092","","11912","","16958","","24452","","28911","","28653","","28830","","29279","","28828","","29183","","27201","","26448","","26273","","26176",""
"95"," Tunisia","5432","","5931","","7329","","8523","","10113","","9821","","10115","","10305","","10505","","10520","","10525","","10605","","10764","","10756",""
"54"," Turkey","12722","","13738","","15470","","18201","","20042","","21931","","22609","","24117","","24935","","26015","","26409","","27934","","28299","","28167",""
"111"," Turkmenistan","7208","","3988","","4622","","5629","","8617","","9718","","10604","","11471","","12421","","12994","","13563","","14205","","14845","","14845","a"
".."," Tuvalu","2616","","2913","","3358","","3173","","3286","","3499","","3331","","3446","","3456","","3729","","3799","","3904","","3953","","4288",""
"159"," Uganda","907","","1082","","1252","","1479","","1860","","1971","","1982","","1988","","2021","","2052","","2073","","2075","","2122","","2181",""
"74"," Ukraine","15752","","7617","","7221","","10958","","11778","","12467","","12527","","12553","","12409","","11237","","11535","","11871","","12338","","12810",""
"31"," United Arab Emirates","111454","","101571","","102495","","90895","","54922","","56123","","57391","","59922","","62379","","65219","","66511","","67184","","66968","","67119",""
